secao;classe;descricao;tipogaiola;fichajulgamento;anolimiteanilha;campoa;campob;campoc
F2;5;Eq. F Cardinalito da Venezuela (Carduelis cucullata) clássico;1;0;0;0;0;0
F2;6;F Cardinalito da Venezuela (Carduelis cucullata) clássico;1;0;0;0;0;0
F2;7;Eq. M Cardinalito da Venezuela (Carduelis cucullata) castanho;1;0;0;0;0;0
F2;8;M Cardinalito da Venezuela (Carduelis cucullata) castanho;1;0;0;0;0;0
F2;9;Eq. F Cardinalito da Venezuela (Carduelis cucullata) castanho;1;0;0;0;0;0
F2;10;F Cardinalito da Venezuela (Carduelis cucullata) castanho;1;0;0;0;0;0
F2;11;Eq. M Cardinalito da Venezuela (Carduelis cucullata) diluído;1;0;0;0;0;0
F2;12;M Cardinalito da Venezuela (Carduelis cucullata) diluído;1;0;0;0;0;0
F2;13;Eq. F Cardinalito da Venezuela (Carduelis cucullata) diluído;1;0;0;0;0;0
F2;14;F Cardinalito da Venezuela (Carduelis cucullata) diluído;1;0;0;0;0;0
F2;15;Eq. M Cardinalito da Venezuela (Carduelis cucullata) ágata;1;0;0;0;0;0
F2;16;M Cardinalito da Venezuela (Carduelis cucullata) ágata;1;0;0;0;0;0
F2;17;Eq. F Cardinalito da Venezuela (Carduelis cucullata) ágata;1;0;0;0;0;0
F2;18;F Cardinalito da Venezuela (Carduelis cucullata) ágata;1;0;0;0;0;0
F2;19;Eq. M Cardinalito da Venezuela (Carduelis cucullata) isabel;1;0;0;0;0;0
F2;20;M Cardinalito da Venezuela (Carduelis cucullata) isabel;1;0;0;0;0;0
F2;21;Eq. F Cardinalito da Venezuela (Carduelis cucullata) isabel;1;0;0;0;0;0
F2;22;F Cardinalito da Venezuela (Carduelis cucullata) isabel;1;0;0;0;0;0
F2;23;Eq. M Cardinalito da Venezuela (Carduelis cucullata) outras mutações;1;0;0;0;0;0
F2;24;M Cardinalito da Venezuela (Carduelis cucullata) outras mutações;1;0;0;0;0;0
F2;25;Eq. F Cardinalito da Venezuela (Carduelis cucullata) outras mutações;1;0;0;0;0;0
F2;26;F Cardinalito da Venezuela (Carduelis cucullata) outras mutações;1;0;0;0;0;0
F2;27;Eq. M Carduelis Magelânica Clássico;1;0;0;0;0;0
F2;28;M Carduelis Magelânica Clássico;1;0;0;0;0;0
